name,year,metacritic_rating,reviewer_rating,positivity_ratio,to_beat_main,to_beat_extra,to_beat_completionist,extra_content_length,tags
Biped,2020.0,74.0,8.0,6.898976982097187,2.73,4.19,10.07,7.34,Robots|Fast-Paced|Co-op Campaign|Action-Adventure|Multiplayer|Strategy|Level Editor|Action|Adventure|Parkour|Platformer|Physics|Atmospheric|Exploration|Puzzle|Split Screen|Team-Based|Character Customization|Controller|Co-op|Local Co-Op|Local Multiplayer|Comedy|Racing|Funny|3D|Casual|Survival|Indie|Cartoony|Singleplayer|Simulation|Emotional|Colorful|3D Platformer|Cute|Online Co-Op|Family Friendly|Replay Value|Sports
Hand of Fate 2,2017.0,80.0,8.0,5.793147208121828,20.48,42.12,100.01,79.53,Roguelike Deckbuilder|Action Roguelike|Atmospheric|Choices Matter|Dungeon Crawler|Action RPG|Deckbuilding|Third Person|Indie|Hack and Slash|Strategy|Card Game|Singleplayer|Action|Fantasy|Female Protagonist|RPG|Board Game
Space Hulk: Deathwing,2016.0,58.0,5.0,1.1652639632746749,8.13,10.81,14.37,6.239999999999998,Horror|First-Person|Multiplayer|Strategy|Action|Dating Sim|Adventure|Games Workshop|Atmospheric|Gore|Warhammer 40K|Co-op|RPG|FPS|Survival|Shooter|Singleplayer|Space|Aliens|Online Co-Op|Sci-fi
Crazy Machines 3,2016.0,71.0,8.0,17.74245472837022,6.67,14.66,26.81,20.14,Building|Physics|Puzzle|Casual|Multiplayer|Strategy|Simulation|Singleplayer|Sandbox
METAL GEAR SURVIVE,2018.0,54.0,5.0,1.892146017699115,22.39,30.85,46.87,24.48,Horror|Multiplayer|Zombies|Strategy|Action|Adventure|Heist|Stealth|Memes|Psychological Horror|Co-op|Comedy|Crafting|Sexual Content|Casual|Survival|Singleplayer|Violent|Tower Defense|Anime|Third Person|Open World Survival Craft|Open World
UFO: Afterlight,2014.0,71.0,5.0,1.8035714285714288,33.33,36.0,60.52,27.190000000000005,Aliens|Turn-Based Strategy|Strategy|Indie|Tactical|Turn-Based|Real-Time with Pause|Singleplayer|Mars|RPG|Sci-fi
Expeditions: Rome,2022.0,80.0,8.0,8.085653104925054,40.5,53.62,57.57,17.07,Story Rich|Historical|Strategy|Tactical RPG|Turn-Based Combat|Atmospheric|CRPG|Character Customization|Rome|Tactical|Top-Down|Female Protagonist|RPG|Turn-Based Tactics|3D|Party-Based RPG|Singleplayer|Choices Matter|Turn-Based Strategy|Turn-Based
Phoenix Point,2020.0,74.0,6.0,2.619828815977176,35.12,76.08,133.66,98.54,Horror|Procedural Generation|First-Person|Strategy|Grand Strategy|Transhumanism|Tactical RPG|PvE|Isometric|Character Customization|Tactical|Third-Person Shooter|RPG|Post-apocalyptic|3D|Tutorial|Perma Death|Aliens|Turn-Based Strategy|Third Person
Shadow Tactics: Aiko's Choice,2021.0,83.0,8.0,13.381742738589212,7.37,9.96,12.36,4.989999999999999,Historical|Strategy|Action|RTS|Adventure|Military|Stealth|Building|Atmospheric|Puzzle|Isometric|Tactical|Survival|Assassin|Indie|Singleplayer|Ninja|Violent|Real Time Tactics|Difficult
Magic 2015 - Duels of the Planeswalkers,2014.0,60.0,5.0,0.8235559566787004,9.85,23.89,51.34,41.49,Magic|Turn-Based Strategy|Deckbuilding|Strategy|Multiplayer|Fantasy|Turn-Based|Card Game|Adventure|Female Protagonist|Singleplayer|Trading Card Game|Board Game
